"Xloc","Yloc","Landuse","Rock"
2.05,1.65,"Pasture","Sequanian"
2.05,1.7,"Forest","Sequanian"
2.05,1.75,"Forest","Sequanian"
2.05,1.8,"Forest","Kimmeridgian"
2.05,1.85,"Meadow","Sequanian"
2.05,1.9,"Meadow","Sequanian"
2.05,1.95,"Meadow","Kimmeridgian"
2.05,2,"Meadow","Kimmeridgian"
2.05,2.05,"Meadow","Kimmeridgian"
2.05,2.1,"Meadow","Kimmeridgian"
2.05,2.15,"Meadow","Sequanian"
2.05,2.2,"Meadow","Sequanian"
2.05,2.25,"Meadow","Sequanian"
2.05,2.3,"Meadow","Sequanian"
2.05,2.35,"Meadow","Sequanian"
2.05,2.4,"Meadow","Quaternary"
2.05,2.45,"Meadow","Quaternary"
2.05,2.5,"Meadow","Kimmeridgian"
2.05,2.55,"Meadow","Kimmeridgian"
2.05,2.6,"Meadow","Kimmeridgian"
2.05,2.65,"Meadow","Kimmeridgian"
2.05,2.7,"Meadow","Kimmeridgian"
2.05,2.75,"Meadow","Kimmeridgian"
2.05,2.8,"Meadow","Kimmeridgian"
2.05,2.85,"Meadow","Kimmeridgian"
2.05,2.9,"Meadow","Sequanian"
2.05,2.95,"Meadow","Sequanian"
2.05,3,"Meadow","Sequanian"
2.05,3.05,"Meadow","Sequanian"
2.05,3.1,"Meadow","Sequanian"
2.05,3.15,"Meadow","Argovian"
2.05,3.2,"Meadow","Argovian"
2.05,3.25,"Meadow","Argovian"
2.05,3.3,"Meadow","Quaternary"
2.05,3.35,"Meadow","Quaternary"
2.05,3.4,"Meadow","Argovian"
2.05,3.45,"Meadow","Argovian"
2.05,3.5,"Meadow","Argovian"
2.05,3.55,"Meadow","Argovian"
2.1,0.2,"Meadow","Portlandian"
2.1,0.25,"Meadow","Portlandian"
2.1,0.3,"Meadow","Portlandian"
2.1,0.35,"Meadow","Portlandian"
2.1,0.4,"Meadow","Kimmeridgian"
2.1,0.45,"Meadow","Kimmeridgian"
2.1,0.5,"Meadow","Kimmeridgian"
2.1,0.55,"Meadow","Kimmeridgian"
2.1,0.6,"Pasture","Kimmeridgian"
2.1,0.65,"Pasture","Kimmeridgian"
2.1,0.7,"Pasture","Sequanian"
2.1,0.75,"Pasture","Sequanian"
2.1,0.8,"Pasture","Argovian"
2.1,0.85,"Meadow","Argovian"
2.1,0.9,"Meadow","Argovian"
2.1,0.95,"Meadow","Argovian"
2.1,1,"Meadow","Argovian"
2.1,1.05,"Meadow","Argovian"
2.1,1.1,"Meadow","Argovian"
2.1,1.15,"Meadow","Argovian"
2.1,1.2,"Meadow","Argovian"
2.1,1.25,"Meadow","Argovian"
2.1,1.3,"Meadow","Argovian"
2.1,1.35,"Meadow","Argovian"
2.1,1.4,"Meadow","Argovian"
2.1,1.45,"Pasture","Argovian"
2.1,1.5,"Pasture","Argovian"
2.1,1.55,"Pasture","Argovian"
2.1,1.6,"Pasture","Sequanian"
2.1,1.65,"Pasture","Sequanian"
2.1,1.7,"Forest","Sequanian"
2.1,1.75,"Forest","Sequanian"
2.1,1.8,"Forest","Kimmeridgian"
2.1,1.85,"Meadow","Sequanian"
2.1,1.9,"Meadow","Sequanian"
2.1,1.95,"Meadow","Kimmeridgian"
2.1,2,"Meadow","Kimmeridgian"
2.1,2.05,"Meadow","Kimmeridgian"
2.1,2.1,"Meadow","Kimmeridgian"
2.1,2.15,"Meadow","Sequanian"
2.1,2.2,"Meadow","Sequanian"
2.1,2.25,"Meadow","Sequanian"
2.1,2.3,"Meadow","Sequanian"
2.1,2.35,"Meadow","Sequanian"
2.1,2.4,"Meadow","Quaternary"
2.1,2.45,"Meadow","Quaternary"
2.1,2.5,"Meadow","Kimmeridgian"
2.1,2.55,"Meadow","Kimmeridgian"
2.1,2.6,"Meadow","Kimmeridgian"
2.1,2.65,"Meadow","Kimmeridgian"
2.1,2.7,"Meadow","Kimmeridgian"
2.1,2.75,"Meadow","Kimmeridgian"
2.1,2.8,"Meadow","Kimmeridgian"
2.1,2.85,"Meadow","Kimmeridgian"
2.1,2.9,"Pasture","Sequanian"
2.1,2.95,"Pasture","Sequanian"
2.1,3,"Pasture","Sequanian"
2.1,3.05,"Pasture","Sequanian"
2.1,3.1,"Meadow","Sequanian"
2.1,3.15,"Meadow","Argovian"
2.1,3.2,"Meadow","Argovian"
2.1,3.25,"Meadow","Argovian"
2.1,3.3,"Meadow","Quaternary"
2.1,3.35,"Meadow","Quaternary"
2.1,3.4,"Meadow","Argovian"
2.1,3.45,"Meadow","Argovian"
2.1,3.5,"Meadow","Argovian"
2.1,3.55,"Meadow","Argovian"
2.1,3.6,"Meadow","Argovian"
2.1,4.2,"Meadow","Argovian"
2.1,4.25,"Meadow","Argovian"
2.1,4.3,"Meadow","Argovian"
2.15,0.2,"Meadow","Portlandian"
2.15,0.25,"Meadow","Portlandian"
2.15,0.3,"Meadow","Portlandian"
2.15,0.35,"Meadow","Portlandian"
2.15,0.4,"Meadow","Kimmeridgian"
2.15,0.45,"Meadow","Kimmeridgian"
2.15,0.5,"Meadow","Kimmeridgian"
2.15,0.55,"Meadow","Kimmeridgian"
2.15,0.6,"Meadow","Kimmeridgian"
2.15,0.65,"Meadow","Kimmeridgian"
2.15,0.7,"Meadow","Sequanian"
2.15,0.75,"Meadow","Argovian"
2.15,0.8,"Meadow","Argovian"
2.15,0.85,"Meadow","Argovian"
2.15,0.9,"Meadow","Argovian"
2.15,0.95,"Meadow","Argovian"
2.15,1,"Meadow","Argovian"
2.15,1.05,"Meadow","Argovian"
2.15,1.1,"Meadow","Argovian"
2.15,1.15,"Meadow","Argovian"
2.15,1.2,"Pasture","Argovian"
2.15,1.25,"Pasture","Quaternary"
2.15,1.3,"Pasture","Quaternary"
2.15,1.35,"Pasture","Argovian"
2.15,1.4,"Pasture","Argovian"
2.15,1.45,"Pasture","Argovian"
2.15,1.5,"Pasture","Argovian"
2.15,1.55,"Pasture","Argovian"
2.15,1.6,"Pasture","Sequanian"
2.15,1.65,"Pasture","Sequanian"
2.15,1.7,"Pasture","Kimmeridgian"
2.15,1.75,"Pasture","Kimmeridgian"
2.15,1.8,"Pasture","Kimmeridgian"
2.15,1.85,"Meadow","Kimmeridgian"
2.15,1.9,"Meadow","Kimmeridgian"
2.15,1.95,"Meadow","Kimmeridgian"
2.15,2,"Meadow","Kimmeridgian"
2.15,2.05,"Meadow","Kimmeridgian"
2.15,2.1,"Meadow","Kimmeridgian"
2.15,2.15,"Meadow","Kimmeridgian"
2.15,2.2,"Meadow","Kimmeridgian"
2.15,2.25,"Meadow","Kimmeridgian"
2.15,2.3,"Meadow","Quaternary"
2.15,2.35,"Meadow","Quaternary"
2.15,2.4,"Meadow","Quaternary"
2.15,2.45,"Meadow","Quaternary"
2.15,2.5,"Meadow","Quaternary"
2.15,2.55,"Meadow","Kimmeridgian"
2.15,2.6,"Meadow","Kimmeridgian"
2.15,2.65,"Pasture","Kimmeridgian"
2.15,2.7,"Pasture","Kimmeridgian"
2.15,2.75,"Pasture","Kimmeridgian"
2.15,2.8,"Meadow","Kimmeridgian"
2.15,2.85,"Meadow","Kimmeridgian"
2.15,2.9,"Pasture","Sequanian"
2.15,2.95,"Pasture","Sequanian"
2.15,3,"Meadow","Sequanian"
2.15,3.05,"Meadow","Sequanian"
2.15,3.1,"Meadow","Sequanian"
2.15,3.15,"Meadow","Sequanian"
2.15,3.2,"Meadow","Sequanian"
2.15,3.25,"Meadow","Sequanian"
2.15,3.3,"Meadow","Quaternary"
2.15,3.35,"Meadow","Quaternary"
2.15,3.4,"Meadow","Quaternary"
2.15,3.45,"Meadow","Quaternary"
2.15,3.5,"Meadow","Argovian"
2.15,3.55,"Meadow","Argovian"
2.15,3.6,"Meadow","Argovian"
2.15,3.65,"Meadow","Argovian"
2.15,4.2,"Meadow","Argovian"
2.15,4.25,"Meadow","Argovian"
2.15,4.3,"Meadow","Argovian"
2.2,0.2,"Meadow","Portlandian"
2.2,0.25,"Meadow","Portlandian"
2.2,0.3,"Meadow","Portlandian"
2.2,0.35,"Meadow","Portlandian"
2.2,0.4,"Meadow","Kimmeridgian"
2.2,0.45,"Meadow","Kimmeridgian"
2.2,0.5,"Meadow","Kimmeridgian"
2.2,0.55,"Meadow","Kimmeridgian"
2.2,0.6,"Meadow","Kimmeridgian"
2.2,0.65,"Meadow","Kimmeridgian"
2.2,0.7,"Meadow","Sequanian"
2.2,0.75,"Meadow","Argovian"
2.2,0.8,"Meadow","Argovian"
2.2,0.85,"Meadow","Argovian"
2.2,0.9,"Meadow","Argovian"
2.2,0.95,"Meadow","Argovian"
2.2,1,"Meadow","Argovian"
2.2,1.05,"Meadow","Argovian"
2.2,1.1,"Meadow","Argovian"
2.2,1.15,"Meadow","Argovian"
2.2,1.2,"Pasture","Argovian"
2.2,1.25,"Pasture","Quaternary"
2.2,1.3,"Pasture","Quaternary"
2.2,1.35,"Pasture","Argovian"
2.2,1.4,"Pasture","Argovian"
2.2,1.45,"Pasture","Argovian"
2.2,1.5,"Pasture","Argovian"
2.2,1.55,"Pasture","Argovian"
2.2,1.6,"Pasture","Sequanian"
2.2,1.65,"Pasture","Sequanian"
2.2,1.7,"Pasture","Kimmeridgian"
2.2,1.75,"Pasture","Kimmeridgian"
2.2,1.8,"Pasture","Kimmeridgian"
2.2,1.85,"Meadow","Kimmeridgian"
2.2,1.9,"Meadow","Kimmeridgian"
2.2,1.95,"Meadow","Kimmeridgian"
2.2,2,"Meadow","Kimmeridgian"
2.2,2.05,"Meadow","Kimmeridgian"
2.2,2.1,"Meadow","Kimmeridgian"
2.2,2.15,"Meadow","Kimmeridgian"
2.2,2.2,"Meadow","Kimmeridgian"
2.2,2.25,"Meadow","Kimmeridgian"
2.2,2.3,"Meadow","Quaternary"
2.2,2.35,"Meadow","Quaternary"
2.2,2.4,"Meadow","Quaternary"
2.2,2.45,"Meadow","Quaternary"
2.2,2.5,"Meadow","Quaternary"
2.2,2.55,"Meadow","Kimmeridgian"
2.2,2.6,"Meadow","Kimmeridgian"
2.2,2.65,"Pasture","Kimmeridgian"
2.2,2.7,"Pasture","Kimmeridgian"
2.2,2.75,"Pasture","Kimmeridgian"
2.2,2.8,"Meadow","Kimmeridgian"
2.2,2.85,"Meadow","Kimmeridgian"
2.2,2.9,"Pasture","Sequanian"
2.2,2.95,"Pasture","Sequanian"
2.2,3,"Meadow","Sequanian"
2.2,3.05,"Meadow","Sequanian"
2.2,3.1,"Meadow","Sequanian"
2.2,3.15,"Meadow","Sequanian"
2.2,3.2,"Meadow","Sequanian"
2.2,3.25,"Meadow","Sequanian"
2.2,3.3,"Meadow","Quaternary"
2.2,3.35,"Meadow","Quaternary"
2.2,3.4,"Meadow","Quaternary"
2.2,3.45,"Meadow","Quaternary"
2.2,3.5,"Meadow","Argovian"
2.2,3.55,"Meadow","Argovian"
2.2,3.6,"Meadow","Argovian"
2.2,3.65,"Meadow","Argovian"
2.2,3.7,"Meadow","Argovian"
2.2,3.75,"Meadow","Argovian"
2.2,3.8,"Meadow","Argovian"
2.2,3.85,"Meadow","Argovian"
2.2,3.9,"Meadow","Argovian"
2.2,3.95,"Meadow","Argovian"
2.2,4,"Meadow","Argovian"
2.2,4.05,"Meadow","Argovian"
2.2,4.1,"Meadow","Argovian"
2.2,4.15,"Meadow","Argovian"
2.2,4.2,"Meadow","Argovian"
2.2,4.25,"Meadow","Argovian"
2.2,4.3,"Meadow","Argovian"
2.25,0.25,"Meadow","Portlandian"
2.25,0.3,"Meadow","Portlandian"
2.25,0.35,"Meadow","Portlandian"
2.25,0.4,"Forest","Portlandian"
2.25,0.45,"Forest","Portlandian"
2.25,0.5,"Forest","Kimmeridgian"
2.25,0.55,"Forest","Kimmeridgian"
2.25,0.6,"Meadow","Kimmeridgian"
2.25,0.65,"Meadow","Kimmeridgian"
2.25,0.7,"Meadow","Sequanian"
2.25,0.75,"Meadow","Argovian"
2.25,0.8,"Meadow","Argovian"
2.25,0.85,"Meadow","Argovian"
2.25,0.9,"Meadow","Argovian"
2.25,0.95,"Meadow","Argovian"
2.25,1,"Meadow","Argovian"
2.25,1.05,"Meadow","Argovian"
2.25,1.1,"Meadow","Argovian"
2.25,1.15,"Meadow","Argovian"
2.25,1.2,"Pasture","Argovian"
2.25,1.25,"Pasture","Argovian"
2.25,1.3,"Pasture","Argovian"
2.25,1.35,"Pasture","Quaternary"
2.25,1.4,"Pasture","Quaternary"
2.25,1.45,"Pasture","Argovian"
2.25,1.5,"Pasture","Argovian"
2.25,1.55,"Pasture","Argovian"
2.25,1.6,"Pasture","Sequanian"
2.25,1.65,"Pasture","Sequanian"
2.25,1.7,"Pasture","Kimmeridgian"
2.25,1.75,"Pasture","Kimmeridgian"
2.25,1.8,"Pasture","Kimmeridgian"
2.25,1.85,"Meadow","Kimmeridgian"
2.25,1.9,"Meadow","Kimmeridgian"
2.25,1.95,"Pasture","Kimmeridgian"
2.25,2,"Pasture","Kimmeridgian"
2.25,2.05,"Pasture","Kimmeridgian"
2.25,2.1,"Meadow","Kimmeridgian"
2.25,2.15,"Meadow","Kimmeridgian"
2.25,2.2,"Meadow","Kimmeridgian"
2.25,2.25,"Meadow","Quaternary"
2.25,2.3,"Meadow","Quaternary"
2.25,2.35,"Meadow","Quaternary"
2.25,2.4,"Meadow","Quaternary"
2.25,2.45,"Meadow","Quaternary"
2.25,2.5,"Meadow","Quaternary"
2.25,2.55,"Meadow","Quaternary"
2.25,2.6,"Meadow","Kimmeridgian"
2.25,2.65,"Pasture","Kimmeridgian"
2.25,2.7,"Pasture","Kimmeridgian"
2.25,2.75,"Pasture","Kimmeridgian"
2.25,2.8,"Meadow","Kimmeridgian"
2.25,2.85,"Meadow","Kimmeridgian"
2.25,2.9,"Pasture","Sequanian"
2.25,2.95,"Pasture","Sequanian"
2.25,3,"Meadow","Sequanian"
2.25,3.05,"Meadow","Sequanian"
2.25,3.1,"Meadow","Sequanian"
2.25,3.15,"Meadow","Sequanian"
2.25,3.2,"Meadow","Sequanian"
2.25,3.25,"Meadow","Sequanian"
2.25,3.3,"Meadow","Quaternary"
2.25,3.35,"Meadow","Quaternary"
2.25,3.4,"Meadow","Quaternary"
2.25,3.45,"Meadow","Quaternary"
2.25,3.5,"Meadow","Argovian"
2.25,3.55,"Meadow","Argovian"
2.25,3.6,"Meadow","Argovian"
2.25,3.65,"Meadow","Argovian"
2.25,3.7,"Meadow","Argovian"
2.25,3.75,"Meadow","Argovian"
2.25,3.8,"Meadow","Argovian"
2.25,3.85,"Meadow","Argovian"
2.25,3.9,"Meadow","Argovian"
2.25,3.95,"Meadow","Argovian"
2.25,4,"Meadow","Argovian"
2.25,4.05,"Meadow","Argovian"
2.25,4.1,"Meadow","Argovian"
2.25,4.15,"Meadow","Argovian"
2.25,4.2,"Meadow","Argovian"
2.3,0.3,"Meadow","Portlandian"
2.3,0.35,"Meadow","Portlandian"
2.3,0.4,"Forest","Portlandian"
2.3,0.45,"Forest","Portlandian"
2.3,0.5,"Forest","Kimmeridgian"
2.3,0.55,"Forest","Kimmeridgian"
2.3,0.6,"Meadow","Kimmeridgian"
2.3,0.65,"Meadow","Kimmeridgian"
2.3,0.7,"Forest","Sequanian"
2.3,0.75,"Forest","Sequanian"
2.3,0.8,"Meadow","Argovian"
2.3,0.85,"Meadow","Argovian"
2.3,0.9,"Meadow","Argovian"
2.3,0.95,"Meadow","Argovian"
2.3,1,"Meadow","Argovian"
2.3,1.05,"Meadow","Argovian"
2.3,1.1,"Meadow","Argovian"
2.3,1.15,"Meadow","Argovian"
2.3,1.2,"Pasture","Argovian"
2.3,1.25,"Pasture","Argovian"
2.3,1.3,"Pasture","Argovian"
2.3,1.35,"Pasture","Quaternary"
2.3,1.4,"Pasture","Quaternary"
2.3,1.45,"Pasture","Argovian"
2.3,1.5,"Pasture","Argovian"
2.3,1.55,"Pasture","Argovian"
2.3,1.6,"Pasture","Sequanian"
2.3,1.65,"Pasture","Sequanian"
2.3,1.7,"Pasture","Kimmeridgian"
2.3,1.75,"Pasture","Kimmeridgian"
2.3,1.8,"Pasture","Kimmeridgian"
2.3,1.85,"Meadow","Kimmeridgian"
2.3,1.9,"Meadow","Kimmeridgian"
2.3,1.95,"Pasture","Kimmeridgian"
2.3,2,"Pasture","Kimmeridgian"
2.3,2.05,"Pasture","Kimmeridgian"
2.3,2.1,"Meadow","Quaternary"
2.3,2.15,"Meadow","Quaternary"
2.3,2.2,"Meadow","Quaternary"
2.3,2.25,"Meadow","Quaternary"
2.3,2.3,"Meadow","Quaternary"
2.3,2.35,"Meadow","Quaternary"
2.3,2.4,"Meadow","Quaternary"
2.3,2.45,"Meadow","Quaternary"
2.3,2.5,"Meadow","Quaternary"
2.3,2.55,"Meadow","Quaternary"
2.3,2.6,"Pasture","Kimmeridgian"
2.3,2.65,"Pasture","Kimmeridgian"
2.3,2.7,"Pasture","Kimmeridgian"
2.3,2.75,"Pasture","Kimmeridgian"
2.3,2.8,"Pasture","Kimmeridgian"
2.3,2.85,"Pasture","Kimmeridgian"
2.3,2.9,"Meadow","Sequanian"
2.3,2.95,"Meadow","Sequanian"
2.3,3,"Meadow","Sequanian"
2.3,3.05,"Meadow","Sequanian"
2.3,3.1,"Meadow","Sequanian"
2.3,3.15,"Meadow","Sequanian"
2.3,3.2,"Meadow","Sequanian"
2.3,3.25,"Meadow","Sequanian"
2.3,3.3,"Meadow","Quaternary"
2.3,3.35,"Meadow","Quaternary"
2.3,3.4,"Meadow","Quaternary"
2.3,3.45,"Meadow","Quaternary"
2.3,3.5,"Meadow","Argovian"
2.3,3.55,"Meadow","Argovian"
2.3,3.6,"Meadow","Argovian"
2.3,3.65,"Meadow","Argovian"
2.3,3.7,"Meadow","Argovian"
2.3,3.75,"Meadow","Argovian"
2.3,3.8,"Meadow","Argovian"
2.3,3.85,"Meadow","Argovian"
2.3,3.9,"Meadow","Argovian"
2.3,3.95,"Meadow","Argovian"
2.3,4,"Meadow","Argovian"
2.3,4.05,"Meadow","Argovian"
2.3,4.1,"Meadow","Argovian"
2.3,4.15,"Meadow","Argovian"
2.3,4.2,"Meadow","Argovian"
2.35,0.35,"Meadow","Portlandian"
2.35,0.4,"Forest","Portlandian"
2.35,0.45,"Forest","Portlandian"
2.35,0.5,"Forest","Kimmeridgian"
2.35,0.55,"Forest","Kimmeridgian"
2.35,0.6,"Meadow","Kimmeridgian"
2.35,0.65,"Meadow","Kimmeridgian"
2.35,0.7,"Forest","Sequanian"
2.35,0.75,"Forest","Sequanian"
2.35,0.8,"Meadow","Argovian"
2.35,0.85,"Meadow","Argovian"
2.35,0.9,"Meadow","Argovian"
2.35,0.95,"Meadow","Argovian"
2.35,1,"Meadow","Argovian"
2.35,1.05,"Meadow","Argovian"
2.35,1.1,"Meadow","Argovian"
2.35,1.15,"Meadow","Argovian"
2.35,1.2,"Pasture","Argovian"
2.35,1.25,"Pasture","Argovian"
2.35,1.3,"Pasture","Argovian"
2.35,1.35,"Pasture","Quaternary"
2.35,1.4,"Pasture","Quaternary"
2.35,1.45,"Pasture","Argovian"
2.35,1.5,"Pasture","Argovian"
2.35,1.55,"Pasture","Argovian"
2.35,1.6,"Pasture","Sequanian"
2.35,1.65,"Pasture","Sequanian"
2.35,1.7,"Pasture","Kimmeridgian"
2.35,1.75,"Pasture","Kimmeridgian"
2.35,1.8,"Pasture","Kimmeridgian"
2.35,1.85,"Meadow","Kimmeridgian"
2.35,1.9,"Meadow","Kimmeridgian"
2.35,1.95,"Pasture","Kimmeridgian"
2.35,2,"Pasture","Kimmeridgian"
2.35,2.05,"Pasture","Kimmeridgian"
2.35,2.1,"Meadow","Quaternary"
2.35,2.15,"Meadow","Quaternary"
2.35,2.2,"Meadow","Quaternary"
2.35,2.25,"Meadow","Quaternary"
2.35,2.3,"Meadow","Quaternary"
2.35,2.35,"Meadow","Quaternary"
2.35,2.4,"Meadow","Quaternary"
2.35,2.45,"Meadow","Quaternary"
2.35,2.5,"Meadow","Quaternary"
2.35,2.55,"Meadow","Quaternary"
2.35,2.6,"Pasture","Kimmeridgian"
2.35,2.65,"Pasture","Kimmeridgian"
2.35,2.7,"Pasture","Kimmeridgian"
2.35,2.75,"Pasture","Kimmeridgian"
2.35,2.8,"Pasture","Kimmeridgian"
2.35,2.85,"Pasture","Kimmeridgian"
2.35,2.9,"Meadow","Sequanian"
2.35,2.95,"Meadow","Sequanian"
2.35,3,"Meadow","Sequanian"
2.35,3.05,"Meadow","Sequanian"
2.35,3.1,"Meadow","Sequanian"
2.35,3.15,"Meadow","Sequanian"
2.35,3.2,"Meadow","Sequanian"
2.35,3.25,"Meadow","Sequanian"
2.35,3.3,"Meadow","Quaternary"
2.35,3.35,"Meadow","Quaternary"
2.35,3.4,"Meadow","Quaternary"
2.35,3.45,"Meadow","Quaternary"
2.35,3.5,"Meadow","Argovian"
2.35,3.55,"Meadow","Argovian"
2.35,3.6,"Meadow","Argovian"
2.35,3.65,"Meadow","Argovian"
2.35,3.7,"Meadow","Argovian"
2.35,3.75,"Meadow","Argovian"
2.35,3.8,"Meadow","Argovian"
2.35,3.85,"Meadow","Argovian"
2.35,3.9,"Meadow","Argovian"
2.35,3.95,"Meadow","Argovian"
2.35,4,"Meadow","Argovian"
2.35,4.05,"Meadow","Argovian"
2.35,4.1,"Meadow","Argovian"
2.35,4.15,"Meadow","Argovian"
2.35,4.2,"Meadow","Argovian"
2.4,0.4,"Forest","Portlandian"
2.4,0.45,"Forest","Portlandian"
2.4,0.5,"Forest","Portlandian"
2.4,0.55,"Forest","Portlandian"
2.4,0.6,"Forest","Sequanian"
2.4,0.65,"Forest","Sequanian"
2.4,0.7,"Forest","Sequanian"
2.4,0.75,"Meadow","Sequanian"
2.4,0.8,"Meadow","Sequanian"
2.4,0.85,"Meadow","Argovian"
2.4,0.9,"Meadow","Argovian"
2.4,0.95,"Meadow","Argovian"
2.4,1,"Meadow","Argovian"
2.4,1.05,"Meadow","Argovian"
2.4,1.1,"Meadow","Argovian"
2.4,1.15,"Meadow","Argovian"
2.4,1.2,"Pasture","Argovian"
2.4,1.25,"Meadow","Argovian"
2.4,1.3,"Meadow","Argovian"
2.4,1.35,"Meadow","Quaternary"
2.4,1.4,"Meadow","Quaternary"
2.4,1.45,"Pasture","Sequanian"
2.4,1.5,"Pasture","Sequanian"
2.4,1.55,"Pasture","Sequanian"
2.4,1.6,"Meadow","Sequanian"
2.4,1.65,"Meadow","Sequanian"
2.4,1.7,"Pasture","Sequanian"
2.4,1.75,"Pasture","Sequanian"
2.4,1.8,"Pasture","Kimmeridgian"
2.4,1.85,"Pasture","Kimmeridgian"
2.4,1.9,"Pasture","Kimmeridgian"
2.4,1.95,"Pasture","Kimmeridgian"
2.4,2,"Pasture","Kimmeridgian"
2.4,2.05,"Pasture","Kimmeridgian"
2.4,2.1,"Pasture","Quaternary"
2.4,2.15,"Pasture","Quaternary"
2.4,2.2,"Pasture","Quaternary"
2.4,2.25,"Meadow","Quaternary"
2.4,2.3,"Meadow","Quaternary"
2.4,2.35,"Meadow","Quaternary"
2.4,2.4,"Meadow","Quaternary"
2.4,2.45,"Meadow","Quaternary"
2.4,2.5,"Meadow","Kimmeridgian"
2.4,2.55,"Pasture","Kimmeridgian"
2.4,2.6,"Pasture","Kimmeridgian"
2.4,2.65,"Pasture","Kimmeridgian"
2.4,2.7,"Pasture","Kimmeridgian"
2.4,2.75,"Pasture","Kimmeridgian"
2.4,2.8,"Pasture","Kimmeridgian"
2.4,2.85,"Pasture","Kimmeridgian"
2.4,2.9,"Meadow","Kimmeridgian"
2.4,2.95,"Meadow","Kimmeridgian"
2.4,3,"Meadow","Sequanian"
2.4,3.05,"Meadow","Sequanian"
2.4,3.1,"Meadow","Sequanian"
2.4,3.15,"Meadow","Sequanian"
2.4,3.2,"Meadow","Sequanian"
2.4,3.25,"Meadow","Sequanian"
2.4,3.3,"Meadow","Sequanian"
2.4,3.35,"Meadow","Sequanian"
2.4,3.4,"Meadow","Quaternary"
2.4,3.45,"Meadow","Quaternary"
2.4,3.5,"Tillage","Quaternary"
2.4,3.55,"Tillage","Quaternary"
2.4,3.6,"Meadow","Argovian"
2.4,3.65,"Meadow","Argovian"
2.4,3.7,"Meadow","Argovian"
2.4,3.75,"Meadow","Argovian"
2.4,3.8,"Meadow","Argovian"
2.4,3.85,"Meadow","Argovian"
2.4,3.9,"Meadow","Argovian"
2.4,3.95,"Meadow","Argovian"
2.4,4,"Meadow","Argovian"
2.4,4.05,"Meadow","Argovian"
2.4,4.1,"Meadow","Argovian"
2.4,4.15,"Meadow","Argovian"
2.4,4.2,"Meadow","Argovian"
2.45,0.45,"Forest","Portlandian"
2.45,0.5,"Forest","Portlandian"
2.45,0.55,"Forest","Portlandian"
2.45,0.6,"Forest","Sequanian"
2.45,0.65,"Forest","Sequanian"
2.45,0.7,"Forest","Sequanian"
2.45,0.75,"Meadow","Sequanian"
2.45,0.8,"Meadow","Sequanian"
2.45,0.85,"Meadow","Argovian"
2.45,0.9,"Meadow","Argovian"
2.45,0.95,"Meadow","Argovian"
2.45,1,"Meadow","Argovian"
2.45,1.05,"Meadow","Argovian"
2.45,1.1,"Meadow","Argovian"
2.45,1.15,"Meadow","Argovian"
2.45,1.2,"Forest","Argovian"
2.45,1.25,"Meadow","Argovian"
2.45,1.3,"Meadow","Argovian"
2.45,1.35,"Meadow","Quaternary"
2.45,1.4,"Meadow","Quaternary"
2.45,1.45,"Tillage","Argovian"
2.45,1.5,"Tillage","Argovian"
2.45,1.55,"Tillage","Argovian"
2.45,1.6,"Meadow","Sequanian"
2.45,1.65,"Meadow","Sequanian"
2.45,1.7,"Pasture","Sequanian"
2.45,1.75,"Pasture","Sequanian"
2.45,1.8,"Pasture","Kimmeridgian"
2.45,1.85,"Pasture","Kimmeridgian"
2.45,1.9,"Pasture","Kimmeridgian"
2.45,1.95,"Meadow","Kimmeridgian"
2.45,2,"Meadow","Kimmeridgian"
2.45,2.05,"Meadow","Kimmeridgian"
2.45,2.1,"Meadow","Kimmeridgian"
2.45,2.15,"Meadow","Quaternary"
2.45,2.2,"Meadow","Quaternary"
2.45,2.25,"Meadow","Quaternary"
2.45,2.3,"Meadow","Quaternary"
2.45,2.35,"Meadow","Quaternary"
2.45,2.4,"Meadow","Quaternary"
2.45,2.45,"Meadow","Quaternary"
2.45,2.5,"Meadow","Quaternary"
2.45,2.55,"Meadow","Quaternary"
2.45,2.6,"Pasture","Kimmeridgian"
2.45,2.65,"Pasture","Kimmeridgian"
2.45,2.7,"Pasture","Kimmeridgian"
2.45,2.75,"Pasture","Kimmeridgian"
2.45,2.8,"Pasture","Kimmeridgian"
2.45,2.85,"Pasture","Kimmeridgian"
2.45,2.9,"Meadow","Kimmeridgian"
2.45,2.95,"Meadow","Kimmeridgian"
2.45,3,"Meadow","Kimmeridgian"
2.45,3.05,"Meadow","Kimmeridgian"
2.45,3.1,"Meadow","Sequanian"
2.45,3.15,"Meadow","Sequanian"
2.45,3.2,"Meadow","Sequanian"
2.45,3.25,"Meadow","Sequanian"
2.45,3.3,"Meadow","Sequanian"
2.45,3.35,"Meadow","Sequanian"
2.45,3.4,"Meadow","Sequanian"
2.45,3.45,"Meadow","Sequanian"
2.45,3.5,"Tillage","Quaternary"
2.45,3.55,"Meadow","Quaternary"
2.45,3.6,"Meadow","Quaternary"
2.45,3.65,"Meadow","Argovian"
2.45,3.7,"Meadow","Argovian"
2.45,3.75,"Meadow","Argovian"
2.45,3.8,"Meadow","Argovian"
2.45,3.85,"Meadow","Argovian"
2.45,3.9,"Meadow","Argovian"
2.45,3.95,"Meadow","Argovian"
2.45,4,"Meadow","Argovian"
2.45,4.05,"Meadow","Argovian"
2.45,4.1,"Meadow","Argovian"
2.45,4.15,"Meadow","Argovian"
